"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Ostrya/Carpinus",197,"Ostrya/Carpinus","Ostrya/Carpinus","OSTRYCAR","OSTRYCAR","NA","NA"
"Oxyria digyna",198,"NA","Oxyria","RUMEOXYR","RUMEOXYR","NA","NA"
"Arecaceae",199,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Parnassia",200,"NA","NA","NA","NA","NA","NA"
"Parthenocissus",201,"NA","NA","NA","NA","NA","NA"
"Pediastrum",202,"NA","NA","NA","NA","NA","NA"
"Dalea undiff.",203,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dalea candida-type",204,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dalea purpurea-type",205,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Phacelia",206,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Picea glauca-type",207,"Picea","Picea","PICEAX","PICEAX","TRUE","NA"
"Picea mariana-type",208,"Picea","Picea","PICEAX","PICEAX","TRUE","NA"
"Picea rubens-type",209,"Picea","Picea","PICEAX","PICEAX","NA","NA"
"Picea",210,"Picea","Picea","PICEAX","PICEAX","NA","NA"
"Pinus clausa-type",211,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus subg. Pinus",212,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus subg. Strobus",213,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Pinus undiff.",216,"Pinus","Pinus undifferentiated","PINUSX","PINUSX","NA","NA"
"Planera aquatica",217,"NA","NA","URTICACX","URTICACX","NA","NA"
"Plantago undiff.",218,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago major",219,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago lanceolata",220,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago media",221,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Platanus",222,"Platanus","Platanus","PLATANUS","PLATANUS","NA","NA"
"Polemoniaceae",223,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Polygalaceae",224,"NA","NA","NA","NA","NA","NA"
"Polygonaceae undiff.",225,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Anacardiaceae-type",226,"NA","NA","NA","NA","TRUE","NA"
"Polygonella fimbriata/P. myriophylla",227,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Apocynaceae",228,"NA","NA","NA","NA","NA","NA"
"Polygonum undiff.",229,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Persicaria amphibia",230,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Polygonum aviculare-type",231,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Bistorta bistortoides-type",232,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Persicaria lapathifolia-type",233,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Polypodiaceae",234,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Polypodium-type",235,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pontederiaceae",236,"NA","NA","NA","NA","NA","NA"
"Populus undiff.",237,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Populus balsamifera-type",238,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Populus tremuloides-type",239,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Portulacaceae",240,"NA","NA","NA","NA","NA","NA"
"Potamogeton undiff.",241,"NA","NA","NA","NA","NA","NA"
"Potentilla-type",242,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Primulaceae",244,"NA","NA","NA","NA","NA","NA"
"Prunus-type",245,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Pseudotsuga",246,"Larix","Larix/Pseudotsuga","LARIXPSEU","LARIXPSEU","NA","NA"
"Pteridium-type",247,"NA","NA","POLYPOD","POLYPOD","TRUE","NA"
"Arceuthobium/Loranthaceae",248,"NA","NA","NA","NA","NA","NA"
"Pyrus-type",250,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Quercus",251,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Ranunculaceae undiff.",252,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Ranunculus undiff.",253,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Myrsine",254,"NA","NA","NA","NA","NA","NA"
"Rhamnaceae/Vitaceae undiff.",255,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Rhamnaceae",256,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Combretaceae/Melastomataceae",257,"NA","NA","NA","NA","NA","NA"
"Rhizophora",258,"NA","NA","NA","NA","NA","NA"
"Rhododendron",259,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Rhus",260,"NA","NA","NA","NA","NA","NA"
"Rhynchospora",261,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Ribes",262,"NA","NA","NA","NA","NA","NA"
"Robinia",263,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Alnus rubra-type",264,"Alnus","AlnusXC","ALNUSX","ALNUSX","TRUE","NA"
"Rosaceae trees undiff.",265,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Rubiaceae undiff.",266,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Rubus",267,"NA","Rosaceae","RUBUS","RUBUS","NA","NA"
"Rumex",268,"NA","NA","RUMEX","RUMEOXYR","NA","NA"
"Sabal",269,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Sagittaria",270,"NA","NA","NA","NA","NA","NA"
"Salix",271,"Salix","Salix","SALIX","SALIX","NA","NA"
"Salix herbacea",272,"Salix","Salix","SALIX","SALIX","NA","NA"
"Salix vestita",273,"Salix","Salix","SALIX","SALIX","NA","NA"
"Salsola",274,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Sambucus",275,"NA","NA","NA","NA","NA","NA"
"Sample quantity",276,"NA","NA","NA","NA","NA","NA"
"Sanguisorba",277,"NA","Rosaceae","SANGUI","SANGUI","NA","NA"
"Sapindus",278,"NA","NA","NA","NA","NA","NA"
"Sarcobatus vermiculatus",279,"NA","Sarcobatus","SARCOBATUS","SARCOBATUS","NA","NA"
"Sarracenia",280,"NA","NA","NA","NA","NA","NA"
"Saxifraga-type",281,"NA","NA","NA","NA","NA","NA"
"Saxifragaceae",282,"NA","NA","NA","NA","NA","NA"
"Scheuchzeria palustris",283,"NA","NA","NA","NA","NA","NA"
"Scrophulariaceae",284,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Sedum",285,"NA","NA","NA","NA","NA","NA"
"Selaginella",286,"NA","NA","SELAGINE","SELAGINE","NA","NA"
"Serenoa",287,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Shepherdia undiff.",288,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"Shepherdia argentea",289,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"Shepherdia canadensis",290,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"Shrubs undiff.",291,"NA","NA","NA","NA","NA","NA"
"Solanaceae undiff.",292,"NA","NA","NA","NA","NA","NA"
"Sparganium-type",293,"NA","NA","NA","NA","NA","NA"
"Sphagnum",294,"NA","Sphagnum","SPHAGNUM","SPHAGNUM","NA","NA"
"Spiraea-type",295,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Unknown undiff.",296,"NA","NA","NA","NA","NA","NA"
"Symplocos",297,"NA","NA","NA","NA","NA","NA"
"Taxodium",298,"Cupressaceae/Taxaceae","Taxodium","TAXODIUM","TAXODIUM","NA","NA"
"Taxus",299,"Cupressaceae/Taxaceae","NA","TAXUS","TAXUS","NA","NA"
"Thalictrum",300,"NA","NA","THALICTRUM","THALICTRUM","NA","NA"
"Tillandsia",301,"NA","NA","NA","NA","NA","NA"
"Tilia",302,"Tilia","Tilia","TILIA","TILIA","NA","NA"
"Trees undiff.",303,"NA","NA","NA","NA","NA","NA"
"Trema",304,"NA","NA","URTICACX","URTICACX","NA","NA"
"Unknown (trilete) undiff.",305,"NA","NA","NA","NA","NA","NA"
"Tsuga",306,"Tsuga","Tsuga undifferentiated","TSUGAX","TSUGAX","NA","NA"
"Asteraceae subf. Asteroideae undiff.",307,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Typha/Sparganium",308,"NA","NA","NA","NA","NA","NA"
"Typha latifolia",309,"NA","NA","NA","NA","NA","NA"
"Ulmus",310,"Ulmus","Ulmus","ULMUS","ULMUS","NA","NA"
"Apiaceae",311,"NA","Minor Forbs","APIACEAE","APIACEAE","NA","NA"
"Indeterminable",312,"NA","NA","NA","NA","NA","NA"
"Unknown",313,"NA","NA","NA","NA","NA","NA"
"Urtica-type",314,"NA","NA","URTICACX","URTICACX","NA","NA"
"Urticaceae undiff.",315,"NA","NA","URTICACX","URTICACX","NA","NA"
"Utricularia",316,"NA","NA","NA","NA","NA","NA"
"Vaccinium",317,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Valeriana",318,"NA","NA","NA","NA","NA","NA"
"Viburnum undiff.",319,"NA","NA","NA","NA","NA","NA"
"Vitis",320,"NA","NA","NA","NA","NA","NA"
"Woodsia",321,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Xanthium",322,"Prairie Forbs","Asteraceae","XANTHIUM","XANTHIUM","NA","NA"
"Zea mays",323,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Microspheres",324,"NA","NA","NA","NA","NA","NA"
"Microsphere suspension",325,"NA","NA","NA","NA","NA","NA"
"Botryococcus",326,"NA","NA","NA","NA","NA","NA"
"Betulaceae",327,"NA","NA","NA","NA","NA","NA"
"Fagaceae",328,"NA","NA","NA","NA","NA","NA"
"Pinaceae",329,"NA","NA","NA","NA","NA","NA"
"Alnus",330,"Alnus","AlnusXC","ALNUSX","ALNUSX","NA","NA"
"Viola",332,"NA","NA","NA","NA","NA","TRUE"
"Schrankia",333,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Sisyrinchium",334,"NA","NA","NA","NA","NA","NA"
"Matteuccia",335,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Lythrum",336,"NA","NA","NA","NA","NA","NA"
"Aquilapollenites",337,"NA","NA","NA","NA","NA","NA"
"Acer",338,"Acer","Acer","ACERX","ACERX","NA","NA"
"Unknown (trilete)",339,"NA","NA","NA","NA","NA","NA"
"Liliaceae",341,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Alnus incana",344,"Alnus","Alnus rugosa","ALRUGOSA","ALNUSX","NA","NA"
"Ambrosia",345,"Prairie Forbs","NA","AMBROSIA","AMBROSIA","NA","NA"
"Fabaceae",346,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Anacardiaceae",347,"NA","NA","ANACARDI","ANACARDI","NA","NA"
"Unknown (monolete)",348,"NA","NA","NA","NA","NA","NA"
"Bidens",349,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Ranunculaceae",350,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Campanulaceae",351,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Humulus/Cannabis sativa",352,"NA","NA","URTICACX","URTICACX","NA","NA"
