"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Nerium",5248,"NA","NA","NA","NA","NA","NA"
"Bryonia",5249,"NA","NA","NA","NA","NA","NA"
"Phlomis",5250,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Malabaila",5251,"NA","Minor Forbs","NA","NA","NA","NA"
"Mesembryanthemum",5252,"NA","NA","NA","NA","NA","NA"
"Aizoaceae",5253,"NA","NA","NA","NA","NA","NA"
"Sideritis",5254,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Gossypium",5255,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Cyclamen",5256,"NA","NA","NA","NA","NA","NA"
"Hyoscyamus",5257,"NA","NA","NA","NA","NA","NA"
"Asphodeline",5258,"NA","NA","NA","NA","NA","NA"
"Chrozophora",5259,"NA","Minor Forbs","NA","NA","NA","NA"
"Orobanche",5261,"NA","NA","NA","NA","NA","NA"
"Orobanchaceae",5262,"NA","NA","NA","NA","NA","NA"
"cf. Orobanche",5263,"NA","NA","NA","NA","NA","NA"
"Roemeria",5264,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Roemeria hybrida subsp. dodecandra-type",5265,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Roemeria-type",5267,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Roemeria hybrida-type",5268,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Roemeria hybrida",5269,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Pterocephalus-type",5270,"NA","NA","NA","NA","NA","NA"
"Emex",5271,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Vaccaria",5272,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Vaccaria/Petrorhagia",5273,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Inula",5274,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Inula-type",5275,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae tribe Inuleae",5276,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae tribe Inuleae-type",5277,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Cephalaria",5278,"NA","NA","NA","NA","NA","NA"
"Fabaceae tribe Psoraleeae",5279,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Bituminaria bituminosa",5280,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"cf. Chionodoxa",5282,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Eremurus",5283,"NA","NA","NA","NA","NA","NA"
"Acantholimon",5284,"NA","NA","ARMERIA","ARMERIA","NA","NA"
"Plumbaginaceae cf. Acantholimon",5285,"NA","NA","NA","NA","NA","NA"
"Callipeltis microstegia-type",5286,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Apiaceae cf. Falcaria",5287,"NA","Minor Forbs","APIACEAE","APIACEAE","NA","NA"
"Lecokia",5288,"NA","Minor Forbs","NA","NA","NA","NA"
"Apiaceae cf. Levisticum",5289,"NA","Minor Forbs","APIACEAE","APIACEAE","NA","NA"
"Psammogeton-type",5290,"NA","Minor Forbs","NA","NA","NA","NA"
"Apiaceae cf. Smyrniopsis",5291,"NA","Minor Forbs","APIACEAE","APIACEAE","NA","NA"
"Trachyspermum-type",5292,"NA","Minor Forbs","NA","NA","NA","NA"
"Cnicus",5293,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Marsilea",5294,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Marsileaceae",5295,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Aristolochia",5296,"NA","NA","NA","NA","NA","NA"
"Aristolochiaceae",5297,"NA","NA","NA","NA","NA","NA"
"Cerinthe-type",5298,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Cerinthe",5299,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Cerinthe minor",5300,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Calendula",5301,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Ricinus",5302,"NA","Minor Forbs","NA","NA","NA","NA"
"Nepeta",5303,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Nepeta-type",5304,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Laurus",5305,"NA","NA","NA","NA","NA","NA"
"Laurus nobilis",5306,"NA","NA","NA","NA","NA","NA"
"Alhagi",5307,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Colutea",5308,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Rheum",5309,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Androsace-type",5310,"NA","NA","NA","NA","NA","NA"
"Consolida",5311,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Consolida ambigua-type",5312,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Asplenium subg. Phyllitis",5314,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Crupina",5315,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Phyteuma-type",5316,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"cf. Bongardia",5317,"NA","NA","NA","NA","NA","NA"
"Bongardia",5318,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Beta",5319,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Beta-type",5320,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Fabaceae cf. Ceratonia",5321,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Ceratonia",5322,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Ceratonia siliqua",5323,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Spartium",5324,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Spartium junceum",5325,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Legousia-type",5326,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Atractylis-type",5327,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Atractylis cancellata",5328,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Atractylis",5329,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Psylliostachys spicata-type",5330,"NA","NA","NA","NA","NA","NA"
"Ceratocephala-type",5334,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Ceratocephala",5336,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Apiaceae cf. Caucalis",5338,"NA","Minor Forbs","APIACEAE","APIACEAE","NA","NA"
"Philonotis",5339,"NA","NA","NA","NA","NA","NA"
"Lappula",5340,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Centranthus",5341,"NA","NA","NA","NA","NA","NA"
"Astrantia-type",5342,"NA","Minor Forbs","NA","NA","NA","NA"
"Astrantia",5343,"NA","Minor Forbs","NA","NA","NA","NA"
"Caryophyllaceae cf. Myosoton aquaticum",5344,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Myosoton aquaticum",5345,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Asarum europaeum",5346,"NA","NA","NA","NA","NA","NA"
"Asarum",5347,"NA","NA","NA","NA","NA","NA"
"Leucojum/Galanthus",5348,"NA","NA","NA","NA","NA","NA"
"Galanthus",5349,"NA","NA","NA","NA","NA","NA"
"Ericales cf. Andromeda polifolia",5350,"NA","NA","ERICALES","ERICACEX","NA","NA"
"Andromeda-type",5351,"NA","NA","NA","NA","NA","NA"
"Gentianaceae cf. Swertia",5352,"NA","NA","NA","NA","NA","NA"
"Swertia perennis",5353,"NA","NA","NA","NA","NA","NA"
"Lamiastrum-type",5354,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Staphylea",5355,"NA","NA","NA","NA","NA","NA"
"Staphyleaceae",5356,"NA","NA","NA","NA","NA","NA"
"Agrostemma githago",5357,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Epipactis palustris",5358,"NA","NA","NA","NA","NA","NA"
"Glechoma-type",5359,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Petasites",5360,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Phleum-type",5361,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Asteraceae subf. Asteroideae cf. Chrysanthemum",5362,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Chrysanthemum-type",5363,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Chrysanthemum",5364,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Fontanesia philliraeoides",5365,"NA","NA","NA","NA","NA","NA"
"Rindera-type",5366,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Lepidium",5367,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Hypecoum",5368,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Hypecoum-type",5369,"NA","NA","NA","NA","NA","NA"
"Kickxia",5370,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Descurainia",5371,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Paracaryum-type",5372,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Mattiastrum",5373,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Reaumuria",5374,"NA","NA","NA","NA","NA","NA"
"Chaerophyllum",5375,"NA","Minor Forbs","NA","NA","NA","NA"
"Chaerophyllum temulentum",5376,"NA","Minor Forbs","NA","NA","NA","NA"
"Silybum-type",5377,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Silene dioica",5378,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Arabidopsis-type",5380,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Arabidopsis",5381,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Andrachne",5382,"NA","Minor Forbs","NA","NA","NA","NA"
"Doronicum-type",5383,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Peganum",5384,"NA","NA","NA","NA","NA","NA"
"Erigeron",5385,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Debarya",5386,"NA","NA","NA","NA","NA","NA"
"Desmidiaceae",5387,"NA","NA","NA","NA","NA","NA"
"Debarya undiff.",5388,"NA","NA","NA","NA","NA","NA"
"Rhizopoda undiff.",5389,"NA","NA","NA","NA","NA","NA"
"Spirogyra-type",5390,"NA","NA","NA","NA","NA","NA"
"Zygnema-type",5391,"NA","NA","NA","NA","NA","NA"
"Arcella undiff.",5392,"NA","NA","NA","NA","NA","NA"
"Entophlyctis lobata",5393,"NA","NA","NA","NA","NA","NA"
"Helicoma curtisii",5394,"NA","NA","NA","NA","NA","NA"
"Eunotia",5395,"NA","NA","NA","NA","NA","NA"
"Bacillariophyta",5396,"NA","NA","NA","NA","NA","NA"
"Pinnularia",5397,"NA","NA","NA","NA","NA","NA"
"Arnica",5398,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Carum-type",5399,"NA","Minor Forbs","NA","NA","NA","NA"
"Carum verticillatum",5400,"NA","Minor Forbs","NA","NA","NA","NA"
"Halogeton",5401,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Lapsana-type",5402,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Alyssoides-type",5403,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Heleopera",5404,"NA","NA","NA","NA","NA","NA"
"Nebela undiff.",5405,"NA","NA","NA","NA","NA","NA"
"Polytrichum",5406,"NA","NA","NA","NA","NA","NA"
"Helicoma",5407,"NA","NA","NA","NA","NA","NA"
"Hepatica-type",5408,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Arthrodesmus",5409,"NA","NA","NA","NA","NA","NA"
"Succisella",5410,"NA","NA","NA","NA","NA","NA"
"cf. Penium",5411,"NA","NA","NA","NA","NA","NA"
"Penium",5412,"NA","NA","NA","NA","NA","NA"
"Anthostomella fuegiana",5413,"NA","NA","NA","NA","NA","NA"
"Gaeumannomyces cf. G. caricis",5414,"NA","NA","NA","NA","NA","NA"
"Diporotheca",5415,"NA","NA","NA","NA","NA","NA"
"Tetraploa aristata",5416,"NA","NA","NA","NA","NA","NA"
"Cladocera",5417,"NA","NA","NA","NA","NA","NA"
"Rhabdocoela",5418,"NA","NA","NA","NA","NA","NA"
"Platyhelminthes",5419,"NA","NA","NA","NA","NA","NA"
"Closterium",5422,"NA","NA","NA","NA","NA","NA"
"Closterium undiff.",5423,"NA","NA","NA","NA","NA","NA"
"Staurastrum undiff.",5424,"NA","NA","NA","NA","NA","NA"
"Acroptilon",5425,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Scrophulariaceae cf. Gratiola",5426,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"cf. Casuarina",5427,"NA","NA","NA","NA","NA","NA"
"Michauxia",5428,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Amaranthaceae cf. Krascheninnikovia",5429,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Krascheninnikovia ceratoides",5430,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Amaranthus-type",5431,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Biscutella",5432,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Dorycnium hirsutum",5433,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dorycnium",5434,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dorycnium-type",5435,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Fossombronia",5437,"NA","NA","NA","NA","NA","NA"
"Scandix",5438,"NA","Minor Forbs","NA","NA","NA","NA"
"Cornulaca",5439,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Parrotia",5440,"NA","NA","NA","NA","NA","NA"
"Huperzia serrata",5443,"NA","NA","NA","NA","NA","NA"
"Bolboschoenus maritimus subsp. maritimus",5444,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Tetraporina",5447,"NA","NA","NA","NA","NA","NA"
"Bellis",5449,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Ranunculus subg. Ficaria",5450,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Illecebrum",5453,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Trinia",5454,"NA","Minor Forbs","NA","NA","NA","NA"
"Trinia glauca-type",5455,"NA","Minor Forbs","NA","NA","NA","NA"
"Valerianella campestris",5456,"NA","NA","NA","NA","NA","NA"
"Cystopteris sudetica",5458,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Stellera",5460,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Fumana-type",5461,"NA","NA","NA","NA","NA","NA"
"Spike suspension",5462,"NA","NA","NA","NA","NA","NA"
"Lamiaceae (hexacolpate)",5464,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Lamiaceae (tricolpate)",5465,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Lamiaceae (stephanocolpate)",5466,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Zygnema/Spirogyra",5467,"NA","NA","NA","NA","NA","NA"
"Concentricystes",5468,"NA","NA","NA","NA","NA","NA"
"Pseudoschizaea",5469,"NA","NA","NA","NA","NA","NA"
"Glomus",5470,"NA","NA","NA","NA","NA","NA"
"Rorippa amphibia",5471,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Groenlandia densa",5472,"NA","NA","NA","NA","NA","NA"
"Leucostegia immersa",5474,"NA","NA","NA","NA","NA","NA"
"Najas marina",5475,"NA","NA","NA","NA","NA","NA"
"Hypnum",5476,"NA","NA","NA","NA","NA","NA"
"Chara",5478,"NA","NA","NA","NA","NA","NA"
"Lygeum",5479,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Spermatophyta",5480,"NA","NA","NA","NA","NA","NA"
"Spermatophyta undiff.",5481,"NA","NA","NA","NA","NA","NA"
"Spermatophyta (upland herbs)",5482,"NA","NA","NA","NA","NA","NA"
"cf. Myrtus",5483,"NA","NA","NA","NA","NA","NA"
"Lygeum-type",5484,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Chrysophyta",5485,"NA","NA","NA","NA","NA","NA"
"Chamaerops",5487,"NA","NA","ARECACEAE","ARECACEAE","NA","NA"
"Myrtus/Eucalyptus",5488,"NA","NA","NA","NA","NA","NA"
"Fumana",5489,"NA","NA","NA","NA","NA","NA"
"Galega-type",5490,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Unknown (trilete, roughly verrucate)",5491,"NA","NA","NA","NA","NA","NA"
"Unknown (trilete, smoothly verrucate)",5492,"NA","NA","NA","NA","NA","NA"
"Ammi",5494,"NA","Minor Forbs","NA","NA","NA","NA"
"Conium maculatum",5495,"NA","Minor Forbs","NA","NA","NA","NA"
"Laserpitium",5496,"NA","Minor Forbs","NA","NA","NA","NA"
"Lavandula-type",5497,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Meum-type",5498,"NA","Minor Forbs","NA","NA","NA","NA"
"Minuartia recurva",5499,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Ornithopus",5500,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Physospermum cornubiense",5501,"NA","Minor Forbs","NA","NA","NA","NA"
"Selinum carvifolia",5502,"NA","Minor Forbs","NA","NA","NA","NA"
"Seseli libanotis-type",5503,"NA","Minor Forbs","NA","NA","NA","NA"
"Silaum silaus-type",5504,"NA","Minor Forbs","NA","NA","NA","NA"
"Sesamoides",5505,"NA","NA","NA","NA","NA","NA"
"Ranunculus officinalis",5506,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Tetraclinis",5507,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Transects across microscope slide",5508,"NA","NA","NA","NA","NA","NA"
"Characeae",5509,"NA","NA","NA","NA","NA","NA"
"Renium",5510,"NA","NA","NA","NA","NA","NA"
"cf. Cannabaceae",5511,"NA","NA","NA","NA","NA","NA"
"Olea-type",5512,"NA","NA","NA","NA","NA","NA"
"Carpinus cf. C. betulus",5513,"Ostrya/Carpinus","Ostrya/Carpinus","OSTRYCAR","OSTRYCAR","NA","NA"
"Quercus cf. Q. robur",5514,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Quercus cf. Q. ilex",5515,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"cf. Aizoon",5516,"NA","NA","NA","NA","NA","NA"
"Pinus pinaster-type",5517,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus nigra-type",5518,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Quercus cf. Q. suber",5519,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Sorbus aucuparia-type",5520,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Erica multiflora-type",5521,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Rhus coriaria",5522,"NA","NA","NA","NA","NA","NA"
"Sideritis (tetracolpate)",5523,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Nerium oleander",5524,"NA","NA","NA","NA","NA","NA"
"Rubus ulmifolius-type",5525,"NA","Rosaceae","RUBUS","RUBUS","NA","NA"
"Scrophularia canina-type",5526,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Verbascum pulverulentum-type",5527,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Anchusa azurea-type",5528,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Asphodelus fistulosus",5529,"NA","NA","NA","NA","NA","NA"
"Sarcocapnos",5530,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Blackstonia perfoliata-type",5531,"NA","NA","NA","NA","NA","NA"
"Portulaca oleracea-type",5532,"NA","NA","NA","NA","NA","NA"
"Lysimachia ephemerum",5533,"NA","NA","NA","NA","NA","NA"
"Agrimonia eupatoria",5534,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Anchusa azurea",5535,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Conium-type",5536,"NA","Minor Forbs","NA","NA","NA","NA"
"Galium aparine",5537,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Pellaea-type",5538,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Tilletia caries-type",5539,"NA","NA","NA","NA","NA","NA"
"Thecaphora-type",5540,"NA","NA","NA","NA","NA","NA"
"Puccinia",5541,"NA","NA","NA","NA","NA","NA"
"Chaetomium",5542,"NA","NA","NA","NA","NA","NA"
"Dyadosporites",5543,"NA","NA","NA","NA","NA","NA"
"Pluricellasporites",5544,"NA","NA","NA","NA","NA","NA"
"Fusiformisporites",5545,"NA","NA","NA","NA","NA","NA"
"Microthyrium-type",5546,"NA","NA","NA","NA","NA","NA"
"Sordariaceae",5547,"NA","NA","NA","NA","NA","NA"
"Polyadosporites",5548,"NA","NA","NA","NA","NA","NA"
"Riccia lamellosa-type",5549,"NA","NA","NA","NA","NA","NA"
"Acaulon-type",5550,"NA","NA","NA","NA","NA","NA"
"Mougeotia-type",5551,"NA","NA","NA","NA","NA","NA"
"Closterium idiosporum-type",5552,"NA","NA","NA","NA","NA","NA"
"Rivularia",5553,"NA","NA","NA","NA","NA","NA"
"Cyanobacteria",5554,"NA","NA","NA","NA","NA","NA"
"Gloeotrichia",5555,"NA","NA","NA","NA","NA","NA"
"Trichuris",5556,"NA","NA","NA","NA","NA","NA"
"Nematoda",5557,"NA","NA","NA","NA","NA","NA"
"Closterium cf. C. rostratum",5558,"NA","NA","NA","NA","NA","NA"
"Dryopteris dilatata-type",5559,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pinus mugo",5560,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pediastrum angulosum var. laevigatum",5561,"NA","NA","NA","NA","NA","NA"
"Aruncus-type",5562,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Arcella catinus",5563,"NA","NA","NA","NA","NA","NA"
"Arcella gibbosa",5564,"NA","NA","NA","NA","NA","NA"
"Cochliopodium vestitum",5565,"NA","NA","NA","NA","NA","NA"
"Hyalosphenia cf. H. elegans",5566,"NA","NA","NA","NA","NA","NA"
"Nebela parvula",5567,"NA","NA","NA","NA","NA","NA"
"Nephelis",5568,"NA","NA","NA","NA","NA","NA"
"Spirulina",5569,"NA","NA","NA","NA","NA","NA"
"Cymbaria daurica",5571,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Pyrola minor",5572,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Pyrola incarnata",5573,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Patrinia",5574,"NA","NA","NA","NA","NA","NA"
"Echinops-type",5575,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Microtherydaceae",5583,"NA","NA","NA","NA","NA","NA"
"Helicoon pluriseptatum",5584,"NA","NA","NA","NA","NA","NA"
"Saxifraga micalis",5585,"NA","NA","NA","NA","NA","NA"
"cf. Bistorta officinalis-type",5587,"NA","NA","NA","NA","NA","NA"
"Betula pubescens sensu lato",5588,"Betula","Betula","BETULA","BETULA","NA","NA"
"Acanthus",5589,"NA","NA","NA","NA","NA","NA"
"Fabaceae cf. Astragalus-type",5591,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Cyperaceae cf. Cladium-type",5592,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"cf. Myosotis-type",5593,"NA","NA","NA","NA","NA","NA"
"Rosaceae cf. Prunus-type",5594,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"cf. Sedum-type",5595,"NA","NA","NA","NA","NA","NA"
"Dryopteris filix-mas sensu stricto",5596,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Plantago coronopus sensu stricto",5598,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago maritima sensu lato",5599,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago maritima sensu stricto",5600,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Polygonaceae cf. Bistorta officinalis-type",5601,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Centaurea cf. C. cyanus-type",5602,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Centaurea cf. C. nigra-type",5603,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Centaurea cf. C. scabiosa-type",5604,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae cf. Centaurea nigra-type",5605,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Carlina-type",5607,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Corrigiola",5608,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Adenostyles",5609,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Anarrhinum bellidifolium",5610,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Astragalus lusitanicus-type",5611,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Atropa-type",5612,"NA","NA","NA","NA","NA","NA"
"Betula pubescens-type",5614,"Betula","Betula","BETULA","BETULA","NA","NA"
"Calligonum-type",5615,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Carpobrotus",5616,"NA","NA","NA","NA","NA","NA"
"Caryophyllaceae (pentacolpate)",5617,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Centaurea collina",5618,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Centaurea sphaerocephala",5619,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Centaurium pulchellum",5620,"NA","NA","NA","NA","NA","NA"
"Chaerophyllum hirsutum-type",5621,"NA","Minor Forbs","NA","NA","NA","NA"
"Cicendia-type",5622,"NA","NA","NA","NA","NA","NA"
"Cistus albidus-type",5623,"NA","NA","NA","NA","NA","NA"
"Cistus monspeliensis-type",5624,"NA","NA","NA","NA","NA","NA"
"Cistus psilosepalus",5625,"NA","NA","NA","NA","NA","NA"
"Conopodium majus",5627,"NA","Minor Forbs","NA","NA","NA","NA"
"Coronilla-type",5628,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Cosmarium",5629,"NA","NA","NA","NA","NA","NA"
"Dipcadi-type",5630,"NA","NA","NA","NA","NA","NA"
"Erica erigena",5631,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
